data,seed,regret_NQ,regret_mean
S\&P 500 returns,0,0.09501420018088957,0.7795468429521977
S\&P 500 returns,1,0.2692516280258248,0.4929201392788638
S\&P 500 returns,2,0.14994220385701507,1.1298289250115143
S\&P 500 returns,3,0.09448194658162556,0.2838695886423954
S\&P 500 returns,4,0.08378754801264776,0.19021296260445375
S\&P 500 returns,5,0.09597416486171184,0.28391943521225027
S\&P 500 returns,6,0.3123327026410081,0.05379646601407728
S\&P 500 returns,7,0.021232462467500213,0.13869710347170017
S\&P 500 returns,8,0.3830186967250384,0.6338883485323272
S\&P 500 returns,9,0.027595547309474,0.0773486822411602
S\&P 500 returns,10,0.6720222759004857,0.15258230672160167
S\&P 500 returns,11,0.23028501242013188,0.30199126393706077
S\&P 500 returns,12,0.7721605887242342,0.3807874119773498
S\&P 500 returns,13,0.04063788002277313,0.13422463416829444
S\&P 500 returns,14,0.02661700100764186,0.18060248039489046
S\&P 500 returns,15,0.2667823765909505,0.6762866759143513
S\&P 500 returns,16,0.16268458116129203,0.32427344554756043
S\&P 500 returns,17,0.08738266189052624,0.31117492045505646
S\&P 500 returns,18,0.13740017757387601,0.10996887676644906
S\&P 500 returns,19,0.27610499942927813,0.0780539160043654
Danish fire losses,0,1.0808246318670545,1.466623491795274
Danish fire losses,1,0.8941378869142165,2.999468857917956
Danish fire losses,2,0.4737042342710982,0.4001704321144892
Danish fire losses,3,0.14336909719556878,1.9477419169164358
Danish fire losses,4,0.914886225432288,2.2500224693786812
Danish fire losses,5,0.8818091885308679,1.585646693380978
Danish fire losses,6,0.46306588056719633,0.8796176941757734
Danish fire losses,7,0.7363856520432313,1.8229707683648257
Danish fire losses,8,0.005679975780181756,1.6102713047469788
Danish fire losses,9,1.1408039973254063,1.8072779663947571
Danish fire losses,10,0.15258230672160167,2.3472127257155373
Danish fire losses,11,0.9912013932549355,2.6641828158174743
Danish fire losses,12,0.3487690311826155,3.935453733384234
Danish fire losses,13,3.4619854199666578,1.7547215308971884
Danish fire losses,14,1.5874504430747685,2.9990596806707854
Danish fire losses,15,1.1847315973034505,1.0117492524433311
Danish fire losses,16,0.8262083334573012,2.1936696002194056
Danish fire losses,17,3.1274838695969196,2.509019261765612
Danish fire losses,18,1.1057878831774737,4.9494586413941555
Danish fire losses,19,0.961722649554499,2.1083912679495693
Norwegian fire losses,0,0.4891590532646184,4.97150778399861
Norwegian fire losses,1,0.2324341747147649,2.1120986710483374
Norwegian fire losses,2,0.7311256759099596,4.535134759176399
Norwegian fire losses,3,0.660387557562931,0.9864369735317404
Norwegian fire losses,4,0.6447972801164568,3.134048858389478
Norwegian fire losses,5,0.4380724114209036,3.8974018259794274
Norwegian fire losses,6,0.3559627930834859,0.5218108419341663
Norwegian fire losses,7,0.299227498158424,4.118251478487357
Norwegian fire losses,8,0.4310973267357392,3.620555564599095
Norwegian fire losses,9,0.20478664321638274,4.243756377622265
Norwegian fire losses,10,0.5659725594399383,5.624310947274279
Norwegian fire losses,11,0.2600967880690783,5.697414871055531
Norwegian fire losses,12,0.210457367753782,3.1240440177521496
Norwegian fire losses,13,0.7022010007735675,5.815332234988567
Norwegian fire losses,14,0.07725614079381504,3.2921216702832425
Norwegian fire losses,15,0.42347007566143,2.5531634887354238
Norwegian fire losses,16,0.5211637309629049,2.507959981185298
Norwegian fire losses,17,0.1320944299450959,3.946113803240865
Norwegian fire losses,18,0.09019578579324072,4.837609345517481
Norwegian fire losses,19,0.25255145356509257,3.440922985776507
